Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
LI,American Lithium,TSX.V,Canada,Peru,Puno Region,Developer,"Falchani Li (Peru, 8.1 Mt LCE resource); Macusani U (Peru)",Lithium,Falchani: one of world's largest Li resources 8.1 Mt LCE; PEA-stage; Macusani uranium provides optionality; Peru permits ongoing
LCE,Century Lithium,TSX.V,Canada,USA,Nevada,Developer,"Clayton Valley Li brine NV (Cypress, 5.9 Mt LCE); DLE pilot",Lithium,Cypress: 5.9 Mt LCE Clayton Valley NV; FS-stage; DLE pilot results 2024-2025; same basin as Albemarle Silver Peak; 100% owned
RCK,Rock Tech Lithium,TSX.V,Canada,Canada; Germany,Ontario; Brandenburg,Developer,Georgia Lake spodumene ON (11.1 Mt @ 1.0%); Li converter Germany (construction),Lithium,Georgia Lake ON resource; Germany converter plant under construction (LiOH); BMW offtake MOU; €200M+ EU + German funding support; vertically integrated strategy
CRE,Critical Elements,TSX.V,Canada,Canada,Quebec,Developer,Rose Li-Ta spodumene QC (26.8 Mt @ 0.96% Li2O); FS-stage,Lithium,Rose QC: FS 2023 NPV8 ~$925M; permits advanced; James Bay road access; Piedmont Lithium offtake agreement; Ta co-product
BRW,Brunswick Exploration,TSX.V,Canada,Canada,Quebec,Explorer,"Mirage + Anatacau Li spodumene (QC James Bay); 28,000m+ drilling",Lithium,Mirage: most active QC Li driller; significant spodumene intercepts 2024-2025; Anatacau JV; James Bay Li corridor
QTWO,Q2 Metals,TSX.V,Canada,Canada,Quebec,Explorer,"Mia Li spodumene (James Bay QC); active 10,000m+ drill program 2025",Lithium,Mia: Corvette-corridor QC; significant spodumene intercepts; highly active James Bay Li explorer 2025
AVL,Avalon Advanced Materials,TSX,Canada,Canada,Ontario; NWT,Developer,Separation Rapids Li ON (18.5 Mt); Nechalacho REE/Nb NWT,Lithium; REE,Separation Rapids: 18.5 Mt Li deposit Ontario; PEA-stage; Li refinery feasibility; Nechalacho REE-Nb secondary; Ontario government support
NOAL,NOA Lithium Brines,TSX.V,Canada,Argentina,Salta,Explorer/Developer,"Rio Grande salar brine (Salta, 1.18 Mt LCE resource)",Lithium,Rio Grande: 1.18 Mt LCE Salta Argentina; DLE feasibility work; strategic land in lithium triangle; pure-play Argentina brine
LITM,Snow Lake Energy,NASDAQ,USA,Canada,Manitoba,Developer,"Snow Lake Li spodumene MB (Thompson Brothers, 11.1 Mt @ 1.35%)",Lithium,Thompson Brothers: 11.1 Mt @ 1.35% Li2O Manitoba; FS-stage; indigenous partnership; road access; EV battery manufacturer offtake MOU
NVLH,Nevada Lithium Resources,TSX.V,Canada,USA,Nevada,Explorer,Bonnie Claire Li brine NV (21.5 Mt LCE); DLE pilot planning,Lithium,Bonnie Claire: among largest Li brine resources Nevada; 21.5 Mt LCE; large land package; DLE pilot planning
LIS,Lithium South,TSX.V,Canada,Argentina,Salta,Explorer/Developer,Hombre Muerto Norte brine Salta (2.6 Mt LCE); PEA completed,Lithium,Hombre Muerto Norte: PEA complete; LIVENT (Arcadium) operates adjacent Hombre Muerto; Salta lithium triangle; 2.6 Mt LCE resource
LBNK,LithiumBank Resources,TSX.V,Canada,Canada,Alberta,Explorer/Developer,Boardwalk + Park Place + VLAD Li brines Alberta (10.5 Mt LCE Boardwalk),Lithium,Alberta Li brine: Boardwalk 10.5 Mt LCE; DLE focus for oilfield brine co-production; Alberta government supportive; pure-play Canadian brine
IBAT,International Battery Metals,TSX.V,Canada,USA; Argentina,Louisiana; Salta,Technology/Developer,DLE plant Louisiana (operating commercial); Pocitos brine Argentina,Lithium,Unique: operating commercial DLE plant at Louisiana oilfield brine; Pocitos Argentina asset; technology licensing model + own development assets
CLM,Consolidated Lithium Metals,TSX.V,Canada,Canada,Quebec; Ontario,Explorer,Abitibi Li spodumene QC; Pakeagama Lake spodumene ON,Lithium,Abitibi QC + Pakeagama Lake ON hard rock Li targets; James Bay road access; multi-project QC/ON Li explorer
LIT,Argentina Lithium,TSX.V,Canada,Argentina,Salta; Catamarca,Explorer,Rincon West brine (Salta); Antofalla Norte brine (Catamarca),Lithium,Rincon West: near Rio Tinto Rincon production; Antofalla Norte: large salar; Grosso Group management; pure-play Argentina brine
ULTH,United Lithium,CSE,Canada,Sweden; Canada,Dalarna (SE); Ontario,Explorer,Bergby spodumene Sweden; Sault Ste Marie area ON,Lithium,Bergby Sweden: rare European hard rock Li project near LKAB; Ontario targets; Europe-focused Li hard rock explorer
CLIC,Comet Lithium,TSX.V,Canada,Chile; Argentina,Atacama; Jujuy,Explorer,Golden Arrow Li brine portfolio Chile; Jujuy Argentina salar targets,Lithium,Spin-out from Golden Arrow Resources; multiple Chilean brine concessions; Jujuy Argentina targets; early-stage Latin American brine portfolio
ILI,Imagine Lithium,TSX.V,Canada,Canada,Ontario,Explorer,Tyro Li spodumene (Ontario Separation Lake area),Lithium,Tyro: pegmatite field Ontario; near Patriot-style targets; active drill program 2024-2025; Ontario hard rock Li explorer
NRM,Noram Lithium,TSX.V,Canada,USA,Nevada,Developer,Zeus Li brine NV (5.0 Mt LCE); PEA NPV ~US$1.6B; DLE focus,Lithium,Zeus: PEA NPV ~US$1.6B Clayton Valley-area NV; DLE approach; 100% owned Nevada brine; advanced developer
VLI,Vision Lithium,TSX.V,Canada,Canada,Quebec; Manitoba,Explorer,Cadillac spodumene QC (>10km trend); Wawota brine MB,Lithium,Cadillac: >10 km Abitibi pegmatite trend; Manitoba brine targets; multi-jurisdictional Li explorer Canada
VLD,Vinland Lithium,TSX.V,Canada,Canada,Newfoundland,Explorer,Li pegmatite Newfoundland (Bald Hill-type analogue),Lithium,NL Li pegmatite play; emerging Newfoundland Li district; WA Bald Hill analogue; early-stage drill-ready targets
GRD,Grounded Lithium,TSX.V,Canada,Canada,Saskatchewan,Developer,Kindersley Li brine SK (1.7 Mt LCE); DLE pilot in progress,Lithium,Kindersley: 1.7 Mt LCE Saskatchewan brine; Imperial Oil JV option; DLE pilot; large land position; oilfield infrastructure advantage
IBER,IberAmerican Lithium,CBOE,Canada,Chile; Argentina,Atacama; Salta,Explorer,Laguna Blanca brine Chile; multiple salar portfolio Chile/Argentina,Lithium,Laguna Blanca: large salar Chile; Argentina brine targets; CBOE-listed Latin American Li brine portfolio play
ION,Lithium ION Energy,TSX.V,Canada,Mongolia; Canada,Bayankhongor; Quebec,Explorer,Bazooka Li brine Mongolia; James Bay QC spodumene targets,Lithium,Bazooka Mongolia: large brine resource non-traditional jurisdiction; James Bay QC hard rock targets; dual hard rock/brine strategy
LEXI,Lithium Energi,TSX.V,Canada,Argentina,Jujuy; Salta,Explorer,Pocitos brine Salta; Cateo adjacent to Olaroz-Cauchari corridor,Lithium,Pocitos: large salar Salta; Cateo adjacent to Olaroz-Cauchari production corridor; pure-play Argentina brine explorer
POWR,POWR Lithium,CSE,Canada,Canada,Saskatchewan,Explorer,Sifto Li brine Saskatchewan; oilfield brine DLE focus,Lithium,Sifto: potash brine byproduct Li Saskatchewan; DLE extraction focus; Saskatchewan government supportive Li brine policy
EDDY,Edison Lithium,TSX.V,Canada,USA; Argentina,Nevada; Salta,Explorer,Clayton Valley brine NV; Argentina brine portfolio,Lithium,Clayton Valley NV brine exposure; Argentina brine targets; DLE-focused multi-jurisdiction Li explorer
SPOD,Spod Lithium,CSE,Canada,Canada,Ontario; Quebec,Explorer,Timmins spodumene ON; Mazeran spodumene QC,Lithium,Timmins Li pegmatite field Ontario emerging district; Mazeran QC targets; hard rock Li explorer ON + QC
CLI,Cape Lithium,CSE,Canada,Canada,Nova Scotia,Explorer,Cape Spencer Li pegmatite Nova Scotia,Lithium,Cape Spencer: rare Maritime Canada Li pegmatite; NB/NS pegmatite belt; underexplored jurisdiction; early-stage drill-ready
ETL,E3 Lithium,TSX.V,Canada,Canada,Alberta,Developer,Bashaw Li brine Alberta (1.3 Mt LCE); DLE pilot operational,Lithium,Bashaw: 1.3 Mt LCE Alberta brine; DLE pilot plant operating with 2025 flow test results; Imperial Oil JV (23%); oilfield infrastructure advantage
ERKA,Eureka Lithium,CSE,Canada,Canada; USA,British Columbia; Nevada,Explorer,Crow Valley Li-Cs-Ta pegmatite BC; Nevada Li targets,Lithium,Crow Valley BC: Li-Cs-Ta spodumene + lepidolite; Ta+Cs co-products; Nevada brine targets; multi-jurisdiction Li explorer
SRA,Stria Lithium,TSX.V,Canada,Canada,Quebec,Explorer,Pontax Li spodumene QC (James Bay area),Lithium,Pontax: James Bay QC spodumene pegmatite; large land package; drill results ongoing; QC Li hard rock explorer
FLM,First Lithium Minerals,CSE,Canada,Canada,Quebec,Explorer,Lac Simard spodumene QC; Abitibi-area pegmatite targets,Lithium,Lac Simard QC: spodumene-bearing pegmatite Abitibi; early-stage QC Li hard rock explorer
OWLI,One World Lithium,CSE,Canada,Mexico,Baja California,Explorer,Baja California Li brine Mexico; DLE approach,Lithium,Baja California: early-stage Li brine Mexico; US border proximity logistics advantage; DLE extraction focus; non-traditional jurisdiction
ULT,Ultra Lithium,TSX.V,Canada,Argentina; Canada,Catamarca; BC,Explorer,Laguna Verde brine Catamarca Argentina; Turbo Li pegmatite BC,Lithium,Laguna Verde: large salar Argentina; BC Turbo spodumene; dual hard rock/brine strategy
BY,Beyond Lithium,CSE,Canada,Canada,NWT,Explorer,Yellowknife area Li pegmatite NWT; Melville Li NWT,Lithium,NWT Li pegmatite in same trend as LIFT Power; early-stage Yellowknife-area targets; active drill programs
PGA,Pegmatite One Lithium,CSE,Canada,Canada,Ontario,Explorer,Ontario Li pegmatite targets (Separation Lake area),Lithium,Separation Lake area ON: emerging Li pegmatite district; early-stage; Ontario Li explorer following FL/LITS success
AFX,Arctic Fox Lithium,CSE,Canada,Canada,NWT; Yukon,Explorer,NWT + Yukon Li pegmatite targets; Yellowknife-area Li,Lithium,NWT/Yukon Li pegmatite explorer; early-stage targets in underexplored NWT Li district; drill-ready
LTHM,Champion Electric Metals,CSE,Canada,Canada,Quebec,Explorer,Fenelon area Li-Cs-Ta pegmatite QC; Chibougamau-area targets,Lithium,QC pegmatite targets near Chibougamau; Li-Cs-Ta system; James Bay-area explorer; early stage
ABR,Arbor Metals,TSX.V,Canada,Canada,Quebec,Explorer,Jarnet Li spodumene James Bay QC,Lithium,Jarnet: James Bay QC spodumene pegmatite; significant drill intercepts 2024-2025; active QC Li hard rock explorer
TTX,Tantalex Lithium Resources,CSE,Canada,Zimbabwe; DRC,Matabeleland (ZW); Manono area (DRC),Explorer,Zulu Li-Ta hard rock Zimbabwe (16.7 Mt @ 1.06%); Manono-area DRC,Lithium; Tantalum,Zulu Zimbabwe: 16.7 Mt @ 1.06% Li2O; DRC Manono-adjacent targets; African Li hard rock; Ta co-product
ICM,Iconic Minerals,TSX.V,Canada,USA,Nevada,Explorer,Bonnie Claire Li brine NV (adjacent to NVLH),Lithium,Bonnie Claire NV: large brine land package adjacent to Nevada Lithium Resources; Clayton Valley-area brine play
ROAR,Lion Rock Resources,TSX.V,Canada,Canada; USA,Quebec; Nevada,Explorer,Corvette-area QC spodumene; Nevada brine targets,Lithium,James Bay QC spodumene corridor + Nevada brine; dual hard rock/brine Li explorer
PMC,Peloton Minerals,CSE,Canada,Chile; Argentina,Atacama; Salta,Explorer,Iron Man Li brine Chile; Argentina brine portfolio,Lithium,Iron Man brine Chile: Atacama periphery; Argentina salar targets; Latin American brine portfolio
CELL,Grid Battery Metals,TSX.V,Canada,Canada,Saskatchewan,Explorer,Forgan Lake Li spodumene Saskatchewan,Lithium,Forgan Lake SK: rare Saskatchewan hard rock Li pegmatite; drill results 2024-2025; underexplored province for spodumene
TEA,Tearlach Resources,TSX.V,Canada,Canada,Quebec,Explorer,Corvette-corridor Li spodumene James Bay QC,Lithium,James Bay QC spodumene field adjacent to Patriot Corvette; active drilling 2024-2025; significant pegmatite targets
MANN,Manning Ventures,CSE,Canada,Canada,Newfoundland,Explorer,Adina Li spodumene Newfoundland,Lithium,Adina NL: Newfoundland emerging Li pegmatite district; early-stage drill program
SXL,SLAM Exploration,TSX.V,Canada,Canada,Quebec; Newfoundland,Explorer,Papinachois Li spodumene QC; NL targets,Lithium,Papinachois QC: spodumene pegmatite; multi-project QC/NL Li explorer
POR,Portofino Resources,TSX.V,Canada,Argentina; Canada,Salta; Ontario,Explorer,Yerba Buena brine Salta Argentina; Allison Lake spodumene ON,Lithium,Yerba Buena Salta brine + Allison Lake ON spodumene; dual hard rock/brine Li strategy
MDM,Madoro Metals,TSX.V,Canada,Canada,Quebec,Explorer,Corvette-type QC Li spodumene targets,Lithium,James Bay QC Corvette-corridor adjacent; active early-stage drill program
VLX,Velox Energy Materials,TSX.V,Canada,Argentina; Canada,Salta; BC,Explorer,Salta brine Argentina; BC Li pegmatite targets,Lithium,Salta Li brine + BC hard rock; dual-jurisdiction early stage Li explorer
GBML,Global Battery Metals,TSX.V,Canada,Canada,Quebec,Explorer,James Bay QC Li spodumene pegmatite targets,Lithium,James Bay QC Li corridor; multiple pegmatite targets; drill programs 2024-2025
LWR,Lake Winn Resources,TSX.V,Canada,Canada,Manitoba,Explorer,Winn Lake Li spodumene Manitoba,Lithium,Winn Lake MB: spodumene pegmatite Manitoba emerging Li district; early-stage explorer
MEDA,Medaro Mining,CSE,Canada,Canada,Quebec,Explorer,Croinor Li-Co pegmatite QC; La Corne area Li,Lithium,Croinor QC: Li-Co pegmatite Chibougamau area; La Corne QC targets; early-stage QC Li explorer
NEWD,Newfoundland Discovery,CSE,Canada,Canada,Newfoundland,Explorer,Li pegmatite Newfoundland; NL hard rock Li targets,Lithium,Newfoundland Li pegmatite; NL emerging as new Li hard rock district; early-stage drill targets
MEGA,MegaWatt Metals,CSE,Canada,Canada,Ontario,Explorer,Li pegmatite Ontario targets,Lithium,Ontario Li pegmatite; multiple targets Ontario Li district; early-stage drill program
FEX,Fjordland Exploration,TSX.V,Canada,Canada,Ontario,Explorer,McVittie Li spodumene Ontario,Lithium,McVittie ON: Ontario spodumene pegmatite; Ontario Li district play; early-stage drill-ready
LINE,Linear Minerals,CSE,Canada,Canada,Quebec,Explorer,Lac Guyer Li spodumene QC James Bay,Lithium,Lac Guyer: James Bay QC spodumene; early-stage drill targets; QC Li hard rock explorer
GCOM,Green Shift Commodities,TSX.V,Canada,Canada,Newfoundland; Saskatchewan,Explorer,Adina Li spodumene NL; Saskatchewan brine targets,Lithium,Adina NL spodumene + SK brine; dual-strategy Li explorer; NL hard rock + SK brine portfolio
PATH,Newpath Resources,CSE,Canada,Canada,Manitoba,Explorer,Torp Lake Li spodumene Manitoba,Lithium,Torp Lake MB: spodumene pegmatite; emerging MB Li district; early-stage drill program
ROVR,Rover Critical Minerals,TSX.V,Canada,Canada,Alberta,Explorer,Loranger Li brine Alberta; DLE focus,Lithium,Loranger Alberta: DLE-focused Li brine; oilfield infrastructure advantage; Alberta Li brine explorer
ADDY,Adelayde Exploration,CSE,Canada,Canada,Ontario,Explorer,Wisa Lake Li spodumene Ontario,Lithium,Wisa Lake ON: Ontario spodumene pegmatite; emerging Ontario Li district; early-stage
NORD,Nordique Resources,CSE,Canada,Canada,Quebec,Explorer,James Bay QC Li pegmatite targets; Outaouais QC,Lithium,James Bay QC Li spodumene corridor; active drill program; QC Li hard rock explorer
ORGN,Origen Resources,CSE,Canada,Canada; Argentina,BC; Salta,Explorer,BC Li pegmatite; Salta brine Argentina,Lithium,BC hard rock Li + Argentina brine dual strategy; early-stage multi-jurisdiction Li explorer
RKL,Rockland Resources,CSE,Canada,Canada,Quebec,Explorer,James Bay QC Li spodumene targets,Lithium,James Bay QC Li corridor; active early-stage; QC Li hard rock explorer
IMM,International Metals Mining,TSX.V,Canada,Argentina,Salta; Jujuy,Explorer,Salar brine Argentina; Jujuy Li brine targets,Lithium,Argentina Li brine Salta/Jujuy triangle; early-stage brine portfolio
BULL,Quest Critical Metals,CSE,Canada,Canada,Quebec,Explorer,James Bay QC spodumene pegmatite targets,Lithium,James Bay QC Li hard rock; Corvette-corridor adjacent; drill-ready targets
SCV,Scotch Creek Ventures,CSE,Canada,Chile,Atacama,Explorer,Iron Man Li brine Chile Atacama,Lithium,Iron Man Chile: Atacama brine; early-stage Chilean brine play
NBM,NEO Battery Materials,TSX.V,Canada,South Korea,Gyeonggi,Technology,Silicon anode material (NBMSiO) for Li-ion batteries; pilot production,Lithium,Battery material tech: silicon anode for Li-ion cells; Korean-based; pilot production 2024-2025; EV battery supply chain play
PE,Pure Energy Minerals,TSX.V,Canada,USA,Nevada,Developer,Clayton Valley Li brine NV; 100% owned claims,Lithium,Clayton Valley NV brine: adjacent to Albemarle Silver Peak mine; own 100% Clayton Valley claims; DLE approach
LITS,LiTHOS,CBOE,Canada,Canada,Ontario,Developer,Seymour Lake spodumene ON (4.5 Mt @ 1.27% Li2O); FS underway,Lithium,Seymour Lake: 4.5 Mt @ 1.27% Li2O Ontario; FS underway; road access; one of Ontario's most advanced spodumene projects
EMPS,EMP Metals,CSE,Canada,Canada,Alberta; Saskatchewan,Explorer,South Alberta Li brine; Saskatchewan brine targets,Lithium,Alberta + Saskatchewan Li brine; DLE focus; oilfield brine co-production model; early-stage western Canada brine play
FAT,Foremost Clean Energy,CSE,Canada,Canada,Saskatchewan,Explorer/Developer,Athabasca Basin Li brine SK; Wollaston Lake Li targets,Lithium,Athabasca Basin SK: Li brine extraction alongside uranium infrastructure; unique geology; active 2025 exploration
WML,Wealth Minerals,TSX.V,Canada,Chile,Atacama,Explorer,Atacama brine Chile (Copiapó + Laguna Verde); multiple salar claims,Lithium,Large Atacama land Chile; adjacent to major producers; DLE approach; veteran Latin American management
DEMC,Discovery Energy Metals,CSE,Canada,Canada,Manitoba,Explorer,Lynx Lake Li spodumene Manitoba,Lithium,Lynx Lake MB: spodumene pegmatite Manitoba emerging district; small early-stage Li explorer
